demo_imgname	userinput	expandprompt	aspectratio			
text_0_0	a graffiti art of the text "free the pink" on a wall	Photo of a smooth stone wall with the graffiti art 'free the pink' painted in a gradient from pink to blue. Surrounding the text are intricate patterns and a silhouette of a city skyline at the base.	wide			
text_1_0	create calligraphy with red stamp, the text is "happy new year"	Photo of elegant calligraphy on white paper, beautifully written with the phrase 'happy new year'. In the bottom right corner, there's a red stamp imprint.	wide			
text_2_0	handwritten text "Olympic national park" written on a piece of paper	Photo of a crumpled piece of paper held by a person's hand, with the words 'Olympic national park' scribbled in cursive handwriting using a blue pen.	wide			
text_3_0	a math equation "-8x+6 = -5x+13" with a puzzling face next to it	Drawing of a notebook page with the handwritten equation "-8x+6 = -5x+13", and a sketch of a questioning face with big eyes next to it.	wide			
text_4_0	show me on a white paper how many different languages you can write hello	A wide image of a white paper filled with the word 'Hello' written in different languages. The paper showcases: English: 'Hello', Spanish: 'Hola', French: 'Bonjour', German: 'Hallo', Italian: 'Ciao', Portuguese: 'Olá', Russian: 'Привет', Chinese: '你好', Japanese: 'こんにちは', Korean: '안녕하세요', Arabic: 'مرحبا', Hindi: 'नमस्ते', Bengali: 'হ্যালো', Urdu: 'سلام', and Swahili: 'Habari'. The various greetings are written in distinct fonts, representing the essence of each language.	wide			
text_5_0	create a page with three row music notes with title in the top center	A parchment sheet music page featuring three rows of musical notes in dark ink. Above the musical notes, centered at the top, is a title written in a decorative script that says 'Harmony of the Heart'. The staves are clearly defined and the notes are neatly placed.	wide			
text_6_0	A TV show poster named "Ira Finkelstein s Christmas"	Photo-style TV show poster with the title 'Ira Finkelstein's Christmas' at the top in festive red and green colors. The background features a snowy town scene with decorated Christmas trees and fairy lights. In the foreground, a diverse group of characters, including a young boy with glasses, an elderly woman with white hair, and a teenager with a beanie hat, are gathered around a large gift box, looking excited and curious.	wide			
text_7_0	A photo of a frog reading the newspaper dated “Oct 1st 2023” written on it. There is a frog printed on the newspaper.	Photo of a tree frog with its legs stretched out, engrossed in reading a newspaper. Emblazoned on the newspaper is the date 'Oct 1st 2023'. A cartoon frog character decorates the newspaper's main story.	wide			
text_8_0	cartoon pumpkin with text "Happpy Hallooween", typography, illustration	Cartoon depiction of a pumpkin with big, sparkling eyes and a cute smile, sitting on a patch of grass under a crescent moon. The phrase 'Happpy Hallooween' is written above in a bold, whimsical typography that seems to glow in the moonlight.	wide			
text_9_0	Bananas arranged on a picnic table to form the message "This is baaabas"	Illustration of bananas of various sizes artistically placed on a checkered picnic cloth on a table. The bananas come together to form the words 'This is baaabas'. Birds are seen chirping nearby.	wide			
